ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,total_num_kids,Dt_Customer_datetime,total_days_enlisted,total_campaigns_accepted,age,total_spent,age_group
503,1985,Master,Married,20559,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,1,2013-03-12,474,0,29,53,under 30
8430,1957,Bachelors,Together,21994,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,1,2012-12-24,552,0,57,22,50s
2139,1975,Master,Married,7500,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,1,2013-10-02,270,0,39,31,30s
1371,1976,Bachelors,Single,79941,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,2014-06-28,1,0,38,984,30s
9909,1996,2n Cycle,Married,7500,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,0,2012-11-09,597,0,18,122,under 30
7286,1968,Bachelors,Together,41728,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,1,2013-05-24,401,0,46,55,40s
6566,1954,PhD,Married,72550,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,2,2012-11-08,598,0,60,1319,60+
8614,1957,Bachelors,Widow,65486,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,1,2014-05-12,48,0,57,507,50s
4114,1964,Master,Married,79143,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,2012-08-11,687,0,50,1693,50s
1331,1977,Bachelors,Single,35790,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,1,2013-01-02,543,0,37,72,30s
2225,1977,Bachelors,Divorced,82582,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,0,2014-06-07,22,2,37,1617,30s
9381,1978,Bachelors,Married,66373,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,2,2013-06-12,382,0,36,606,30s
6260,1955,Master,Together,82384,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,0,2012-11-19,587,1,59,1957,50s
10383,1966,Bachelors,Divorced,70287,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,0,2013-04-02,453,0,48,1093,40s
7437,1988,Bachelors,Single,27938,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,1,2014-04-28,62,0,26,29,under 30
8375,1968,PhD,Married,55954,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,1,2014-03-03,118,0,46,518,40s
6853,1982,Master,Single,75777,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,0,2013-07-04,360,2,32,1438,30s
3076,1975,Bachelors,Together,66653,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,2,2012-09-07,660,0,39,612,30s
1012,1952,Bachelors,Single,61823,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,1,2013-02-18,496,0,62,884,60+
6518,1951,PhD,Widow,67680,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,1,2013-06-11,383,0,63,606,60+
4137,1948,Bachelors,Together,70666,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,2013-12-06,205,0,66,1076,60+
8082,1971,Bachelors,Married,25721,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,2013-05-21,404,0,43,34,40s
1386,1967,Bachelors,Together,32474,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,2,2014-05-11,49,0,47,11,40s
9369,1979,2n Cycle,Single,88194,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,2014-03-19,102,2,35,1274,30s
4477,1958,Bachelors,Together,69096,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,1,2013-09-27,275,0,56,653,50s
1357,1970,Bachelors,Together,74854,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,2013-04-08,447,0,44,1562,40s
1402,1954,Master,Married,66991,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,2012-09-11,656,0,60,1253,60+
6312,1959,Bachelors,Married,65031,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,1,2013-03-17,469,0,55,863,50s
8132,1975,PhD,Married,60631,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,2,2013-04-05,450,1,39,661,30s
1050,1952,Bachelors,Married,28332,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,2014-04-30,60,0,62,65,60+
5846,1977,Bachelors,Divorced,40246,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,1,2012-12-19,557,0,37,13,30s
1859,1972,Master,Married,75251,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,0,2012-08-27,671,0,42,1890,40s
7503,1976,Bachelors,Single,75825,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,0,2012-10-12,625,1,38,2209,30s
10401,1976,2n Cycle,Together,26326,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,2013-09-04,298,0,38,18,30s
1618,1965,Bachelors,Together,56046,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,0,2013-01-02,543,1,49,692,40s
3332,1985,Bachelors,Single,29760,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,1,2012-08-29,669,0,29,165,under 30
2261,1969,Bachelors,Married,26304,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,1,2013-06-23,371,0,45,16,40s
5346,1973,2n Cycle,Married,23559,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,1,2013-07-03,361,0,41,79,40s
4119,1963,Master,Together,38620,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2013-05-11,414,0,51,318,50s
535,1987,Bachelors,Divorced,81361,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,2014-02-25,124,0,27,778,under 30
5268,1960,Bachelors,Married,29440,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,2,2013-08-11,322,0,54,56,50s
273,1970,Master,Married,36138,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,2,2013-07-16,348,1,44,151,40s
4452,1957,Bachelors,Single,50388,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2014-05-28,32,2,57,372,50s
8504,1973,Bachelors,Married,79593,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,2014-05-12,48,1,41,1366,40s
771,1967,Bachelors,Together,54178,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,1,2014-01-21,159,0,47,194,40s
11178,1972,Master,Single,42394,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,1,2014-03-23,98,0,42,32,40s
2230,1970,PhD,Married,23626,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,1,2014-05-24,36,0,44,43,40s
7516,1983,Bachelors,Married,30096,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,1,2014-05-22,38,0,31,45,30s
7247,1960,Bachelors,Widow,47916,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,1,2012-11-22,584,1,54,606,50s
11100,1972,Bachelors,Divorced,51813,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,2,2013-04-11,444,0,42,63,40s
4646,1951,2n Cycle,Married,78497,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,2013-12-01,210,1,63,978,60+
3037,1983,PhD,Married,50150,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,2013-06-20,374,0,31,410,30s
1473,1960,2n Cycle,Single,47823,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,1,2013-07-23,341,0,54,72,50s
1016,1959,PhD,Single,34554,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,1,2014-03-30,91,0,55,55,50s
4518,1979,Bachelors,Together,85693,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,1,2013-04-20,435,0,35,1169,30s
9370,1945,PhD,Married,65846,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,2013-05-17,408,0,69,1120,60+
8908,1959,Bachelors,Married,87195,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,0,2014-05-08,52,0,55,1097,50s
8373,1979,High School,Together,24594,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,1,2013-12-10,201,0,35,29,30s
7533,1964,Bachelors,Married,49096,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,2,2013-09-24,278,0,50,187,50s
2683,1969,Bachelors,Married,52413,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,2,2013-02-02,512,0,45,910,40s
3629,1978,Bachelors,Single,38557,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,1,2012-12-19,557,0,36,145,30s
10991,1960,Master,Married,89058,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,2012-12-07,569,0,54,850,50s
5077,1979,Bachelors,Together,77298,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,1,2013-11-02,239,0,35,969,30s
7431,1991,PhD,Single,68126,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,0,2012-11-10,596,1,23,1820,under 30
3267,1963,Master,Together,57288,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,1,2014-06-25,4,1,51,608,50s
999,1991,Bachelors,Single,86037,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,0,2013-01-02,543,2,23,730,under 30
9215,1980,PhD,Married,43974,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,1,2012-12-12,564,0,34,551,30s
2286,1962,Bachelors,Single,50785,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,2,2013-09-10,292,0,52,114,50s
1592,1970,Bachelors,Married,90765,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,2014-01-24,156,2,44,1724,40s
367,1978,2n Cycle,Married,36550,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,1,2013-02-19,495,0,36,577,30s
5234,1967,2n Cycle,Together,30753,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,2,2013-07-11,353,0,47,81,40s
9862,1969,Bachelors,Together,21918,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,1,2013-11-14,227,0,45,33,40s
9805,1953,Master,Together,56129,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,1,2013-06-20,374,0,61,660,60+
6205,1967,Master,Single,32557,1,0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,2014-02-24,125,0,47,80,40s
8442,1985,Master,Married,19510,2,0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,2,2013-09-04,298,0,29,30,under 30
7386,1976,Bachelors,Divorced,30992,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,1,2013-04-22,433,0,38,43,30s
7215,1983,Bachelors,Single,101970,0,0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,0,2013-03-12,474,3,31,1135,30s
1491,1965,2n Cycle,Together,71488,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,2013-02-18,496,0,49,559,40s
11071,1984,Bachelors,Single,79607,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,0,2013-04-21,434,0,30,1923,30s
3381,1953,Master,Married,54348,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,2,2014-06-08,21,0,61,90,60+
11051,1956,PhD,Together,77376,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,2,2014-05-10,50,0,58,661,50s
8026,1952,Bachelors,Married,62998,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,1,2013-09-30,272,0,62,463,60+
433,1958,Master,Single,61331,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,2,2013-03-10,476,0,56,632,50s
9597,1969,Bachelors,Married,73448,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,2014-02-10,139,0,45,725,40s
5290,1964,PhD,Married,41551,1,1,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,2,2013-08-14,319,0,50,279,50s
1685,1967,PhD,Together,62981,0,0,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,2013-03-17,469,1,47,1482,40s
5342,1976,High School,Divorced,9548,1,0,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,1,2012-08-08,690,0,38,29,30s
9579,1959,PhD,Married,33762,2,1,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,2013-07-07,357,0,55,106,50s
7660,1973,PhD,Single,35860,1,1,19-05-2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,2,2014-05-19,41,1,41,49,40s
1461,1965,PhD,Divorced,36921,1,1,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,2,2013-07-28,336,0,49,38,40s
821,1992,Master,Single,92859,0,0,19-10-2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2012-10-19,618,0,22,2077,under 30
11084,1976,Master,Together,65104,0,1,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,2013-11-14,227,0,38,1053,30s
8690,1962,Bachelors,Married,86111,0,0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,2013-04-19,436,0,52,1385,50s
2937,1974,PhD,Single,68352,0,1,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,1,2013-08-28,305,0,40,871,40s
9701,1988,Bachelors,Together,41883,1,0,19-03-2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,1,2013-03-19,467,0,26,312,under 30
9949,1976,Bachelors,Married,59809,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,2,2012-10-18,619,0,38,877,30s
10837,1975,Bachelors,Married,23957,1,0,28-10-2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,2012-10-28,609,0,39,68,30s
3120,1981,Bachelors,Together,38547,1,0,28-08-2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,1,2013-08-28,305,0,33,22,30s
5885,1973,2n Cycle,Married,35688,2,1,22-08-2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,2012-08-22,676,0,41,211,40s
4050,1966,Master,Married,49605,0,0,21-06-2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,2014-06-21,8,0,48,127,40s
3830,1953,Master,Married,59354,0,2,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,2,2014-04-24,66,0,61,459,60+
7987,1969,Bachelors,Married,65747,0,1,07-03-2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,1,2014-03-07,114,1,45,460,40s
7798,1972,2n Cycle,Together,46344,0,1,14-12-2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,1,2012-12-14,562,0,42,429,40s
92,1988,Bachelors,Single,34176,1,0,12-05-2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,1,2014-05-12,48,0,26,89,under 30
7055,1952,PhD,Together,61010,0,1,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,1,2012-10-09,628,0,62,1021,60+
10240,1949,Bachelors,Together,69372,0,0,19-02-2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,0,2013-02-19,495,2,65,1381,60+
3025,1958,Bachelors,Single,49967,0,1,08-07-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,1,2013-07-08,356,0,56,306,50s
9283,1978,Bachelors,Single,60199,1,2,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,2013-09-12,290,0,36,18,30s
9970,1977,Bachelors,Together,55375,0,1,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,1,2013-10-17,255,0,37,162,30s
2730,1955,Bachelors,Single,80317,0,0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,2013-08-20,313,0,59,1231,50s
2795,1958,Master,Single,30523,2,1,01-07-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,2013-07-01,363,0,56,13,50s
9260,1945,PhD,Married,70356,0,0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,2012-11-05,601,0,69,1706,60+
8182,1984,Bachelors,Married,23228,1,0,05-01-2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,1,2014-01-05,175,0,30,121,30s
10095,1975,PhD,Divorced,74165,0,0,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,2013-05-01,424,0,39,1293,30s
8475,1973,PhD,Married,157243,0,1,01-03-2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,1,2014-03-01,120,0,41,1608,40s
4370,1966,Bachelors,Together,43482,2,1,13-11-2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,2013-11-13,228,0,48,88,40s
10573,1953,Bachelors,Divorced,62551,0,0,18-11-2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,2013-11-18,223,1,61,421,60+
3712,1959,Bachelors,Divorced,52332,0,0,28-08-2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,2013-08-28,305,1,55,259,50s
6637,1988,Bachelors,Single,66951,0,0,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,2013-11-02,239,0,26,1117,under 30
3152,1957,Bachelors,Together,26091,1,1,25-02-2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,2,2014-02-25,124,0,57,89,50s
